"","nome_socio","txNomeParlamentar","nomeCivil","distancia","considerado.igual"
"1","RICARDO ARRUDA NUNES","RICARDO ARRUDA","RICARDO ARRUDA NUNES",0,TRUE
"2","OSORIO ADRIANO FILHO","OSORIO ADRIANO","OSORIO ADRIANO",6,TRUE
"3","IOLANDA KEIKO MIASHIRO OTA","KEIKO OTA","IOLANDA KEIKO MIASHIRO OTA",0,TRUE
"4","MOISES NOGUEIRA AVELINO","MOISES AVELINO","MOISES NOGUEIRA AVELINO",0,TRUE
"5","LUIZ GONZAGA PATRIOTA","Gonzaga Patriota","LUIZ GONZAGA PATRIOTA",0,TRUE
"6","DARCISIO PAULO PERONDI","Darcísio Perondi","DARCISIO PAULO PERONDI",0,TRUE
"7","MAGDA MOFATTO HON","Magda Mofatto","MAGDA MOFATTO HON",0,TRUE
"8","MARCIO DELLA VALLE BIOLCHI","Márcio Biolchi","MARCIO DELLA VALLE BIOLCHI",0,TRUE
"9","JOAO CARLOS PAOLILO BACELAR FILHO","João Carlos Bacelar","JOAO CARLOS PAOLILO BACELAR FILHO",0,TRUE
"10","EZEQUIEL CORTAZ TEIXEIRA","EZEQUIEL TEIXEIRA","EZEQUIEL CORTAZ TEIXEIRA",0,TRUE
"11","JOAO PAULO KARAM KLEINUBING","JOÃO PAULO KLEINÜBING","JOAO PAULO KARAM KLEINUBING",0,TRUE
"12","MARCELO COSTA E CASTRO","MARCELO CASTRO","MARCELO COSTA E CASTRO",0,TRUE
"13","JOAO LUCIO MAGALHAES BIFANO","JOÃO MAGALHÃES","JOAO LUCIO MAGALHAES BIFANO",0,TRUE
"14","WELLINGTON SALGADO DE OLIVEIRA","WELLINGTON SALGADO","WELLINGTON SALGADO DE OLIVEIRA",0,TRUE
"15","REGINALDO LAZARO DE OLIVEIRA LOPES","Reginaldo Lopes","REGINALDO LAZARO DE OLIVEIRA LOPES",0,TRUE
"16","JULIO JOSE DE CAMPOS","JÚLIO CAMPOS","JULIO JOSE DE CAMPOS",0,TRUE
"17","VICENTE FERREIRA DE ARRUDA COELHO","VICENTE ARRUDA","VICENTE FERREIRA DE ARRUDA COELHO",0,TRUE
"18","JOSE CARLOS SCHIAVINATO","Schiavinato","JOSE CARLOS SCHIAVINATO",0,TRUE
"19","JOSE ELEONILDO SOARES","PINTO ITAMARATY","JOSE ELEONILDO SOARES",0,TRUE
"20","ALEXANDRE LEITE DA SILVA","Alexandre Leite","ALEXANDRE LEITE DA SILVA",0,TRUE
"21","LUIZ CARLOS MOTTA","Luiz Carlos Motta","LUIZ CARLOS MOTTA",0,TRUE
"22","PAULO CESAR DE OLIVEIRA LIMA","PAULO LIMA","PAULO CESAR DE OLIVEIRA LIMA",0,TRUE
"23","ELEUSES VIEIRA DE PAIVA","ELEUSES PAIVA","ELEUSES VIEIRA DE PAIVA",0,TRUE
"24","ROBERTO DORNER","ROBERTO DORNER","ROBERTO DORNER",0,TRUE
"25","LUCIANO CALDAS BIVAR","Luciano Bivar","LUCIANO CALDAS BIVAR",0,TRUE
"26","BENEDITO DE CARVALHO SA","B. SÁ","BENEDITO DE CARVALHO SA",0,TRUE
"27","JOAO GUALBERTO VASCONCELOS","JOÃO GUALBERTO","JOAO GUALBERTO VASCONCELOS",0,TRUE
"28","ABEL SALVADOR MESQUITA JUNIOR","ABEL MESQUITA JR.","ABEL SALVADOR MESQUITA JUNIOR",0,TRUE
"29","ARNALDO CALIL PEREIRA JARDIM","Arnaldo Jardim","ARNALDO CALIL PEREIRA JARDIM",0,TRUE
"30","MANUEL ROSA DA SILVA","MANUEL ROSA NECA","MANUEL ROSA DA SILVA",0,TRUE
"31","HUMBERTO REZENDE PEREIRA","Beto Pereira","HUMBERTO REZENDE PEREIRA",0,TRUE
"32","JOSE LINHARES PONTE","JOSÉ LINHARES","JOSE LINHARES PONTE",0,TRUE
"33","LUIS ANTONIO FRANCISCATTO COVATTI","Covatti Filho","LUIS ANTONIO FRANCISCATTO COVATTI",0,TRUE
"34","RONALDO FONSECA DE SOUZA","RONALDO FONSECA","RONALDO FONSECA DE SOUZA",0,TRUE
"35","CARLOS HENRIQUE AMORIM","Carlos Henrique Gaguim","CARLOS HENRIQUE AMORIM",0,TRUE
"36","NILSON APARECIDO LEITAO","NILSON LEITÃO","NILSON APARECIDO LEITAO",0,TRUE
"37","ALFREDO HELIO SYRKIS","ALFREDO SIRKIS","ALFREDO HELIO SYRKIS",0,TRUE
"38","VALDIR LUIZ ROSSONI","ROSSONI","VALDIR LUIZ ROSSONI",0,TRUE
"39","FRANCISCO LUIZ ESCORCIO LIMA","FRANCISCO ESCÓRCIO","FRANCISCO LUIZ ESCORCIO LIMA",0,TRUE
"40","ROMULO JOSE DE GOUVEIA","RÔMULO GOUVEIA","ROMULO JOSE DE GOUVEIA",0,TRUE
"41","ETIVALDO VADAO GOMES","VADÃO GOMES","ETIVALDO VADAO GOMES",0,TRUE
"42","ATILA SIDNEY LINS DE ALBUQUERQUE","Átila Lins","ATILA SIDNEY LINS ALBUQUERQUE",3,TRUE
"43","IZALCI LUCAS FERREIRA","IZALCI LUCAS","IZALCI LUCAS FERREIRA",0,TRUE
"44","ROMARIO DE SOUZA FARIA","ROMÁRIO","ROMARIO DE SOUZA FARIA",0,TRUE
"45","RAUL DA SILVA LIMA SOBRINHO","RAUL LIMA","RAUL DA SILVA LIMA SOBRINHO",0,TRUE
